,Nodes,Edges,Avg_Degree,Avg_PageRank,Top_1_Share,Top_5_Share,Top_10_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Stability_Std
mean,3269.5,84018.0,33.25234184135798,0.00450258766240026,0.021212399781542574,0.09758286619538199,0.1738710703426519,0.3917591270068562,0.3889220822534834,0.39459617176022904,0.001447471812945317
std,4463.965109630674,117663.98260300388,26.576134397514462,0.006147543730848234,0.02193064311274987,0.10433468451792656,0.18425858700744305,0.04307815161833715,0.041076918408245545,0.04507938482842874,0.0010210373520875456
