Network,Nodes,Edges,Avg_Degree,Avg_PageRank,Top_1_Share,Top_5_Share,Top_10_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Stability_Std
Marvel,6426,167219,52.044506691565516,0.0001556178026766262,0.005705093320735084,0.023807103259797034,0.04358057397783745,0.42221998013716466,0.41796784981020035,0.426472110464129,0.002169454248451177
StarWars,113,817,14.460176991150442,0.008849557522123894,0.03671970624235006,0.17135862913096694,0.30416156670746636,0.3612982738765478,0.35987631469676645,0.3627202330563291,0.0007254893774394572
AU_Election,27050,1012023,74.82609981515712,3.696857670979677e-05,0.012125218497998563,0.034145469025901584,0.0494801007486984,0.1942354628886308,0.19381702880022786,0.19465389697703375,0.000213486779797417
