Network,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High
Marvel,0.42104846375308586,0.41883932741026464,0.4224845402705269
StarWars,0.3333158406219631,0.33051609514554126,0.33601218473784067
US_Election,0.28289264061175945,0.2813313764981254,0.28423459874090995
AU_Election,0.1926960741347649,0.190673952676348,0.1946233447198622
