Network,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
Marvel,6426,167219,52.044506691565516,0.005705093320735084,0.42104846375308586,0.41883932741026464,0.4224845402705269,0.9428571428571428,0.6434483210407869
StarWars,113,817,14.460176991150442,0.03671970624235006,0.3333158406219631,0.33051609514554126,0.33601218473784067,0.9619047619047618,0.47655073685939264
US_Election,195354,10556276,108.07330282461582,0.008074864658711083,0.28289264061175945,0.2813313764981254,0.28423459874090995,1.0,0.22474120877802686
AU_Election,26882,953651,70.95089651067629,0.012789269869165974,0.1926960741347649,0.190673952676348,0.1946233447198622,1.0,0.13407138594549325
