,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
mean,3269.5,84018.0,33.25234184135798,0.021212399781542574,0.3771821521875245,0.37467771127790295,0.3792483625041838,0.9523809523809523,0.5599995289500898
std,4463.965109630674,117663.98260300388,26.576134397514462,0.02193064311274987,0.06203633274730064,0.06245395647070037,0.06114518898233651,0.013468700594029428,0.11801441353831651
