Network,Nodes,Edges,Clustering,Modularity,Avg_Degree,Avg_PageRank,Communities
Marvel,6426,167219,0.0,0.42258400636061716,52.044506691565516,0.0001556178026766262,19
StarWars,113,817,0.7496366638537817,0.3605098534028691,14.460176991150442,0.008849557522123894,4
US_Election,3868,124110,0.0,0.3247806391686997,64.17269906928645,0.00025853154084798336,14
AU_Election,1130,18213,0.6807162801282104,0.38351094991473345,32.23539823008849,0.0008849557522123892,11
