Dataset,MD5,Size,File
Marvel,e0940099116d020e75c3c157902efae0,6426.0,
StarWars,c4ddc107bd3bbce23b63c465e4da0c5d,113.0,
US_Part,407070639166979a842c42abdba1400f,,hashtag_donaldtrump.csv
US_Part,ca73628945ac7204cb7322c398275663,,hashtag_joebiden.csv
AU,ec3b2e24e54298c5de3c0fa1e36a0e09,,
