Network,Node,Degree,PageRank,Betweenness,Community,Label
Marvel,"GELLER, URI",4,3.405101299648436e-05,0.0,1,Regular
Marvel,"NELSON, CANDACE",77,0.00022872402834358686,6.410099585815503e-05,1,Regular
Marvel,WIND-WARRIOR/PAMELA ,21,6.968061648260043e-05,1.638194457762168e-08,7,Regular
Marvel,EARTH-LORD/KYLE BROC,21,6.968061648260043e-05,1.638194457762168e-08,7,Regular
Marvel,TASKMASTER,127,0.0003280748427105468,0.0005296310058090536,11,Regular
Marvel,REDWING,270,0.0006364901213543035,0.0003309744150653118,2,Regular
Marvel,DIAMONDBACK II/RACHE,236,0.0005588730252215292,0.0005881922764624939,11,Regular
Marvel,"LUDLUM, ROSS",8,0.0001636951175885473,0.0,-1,Regular
Marvel,OSWALD,8,0.0001636951175885473,0.0,-1,Regular
Marvel,HOFFMAN,8,0.0001636951175885473,0.0,-1,Regular
Marvel,"NILES, SEN. CATHERIN",6,0.0001276966779945512,0.0,-1,Regular
Marvel,FAGIN,8,0.0001636951175885473,0.0,-1,Regular
Marvel,"ASHER, MICHAEL",8,0.0001636951175885473,0.0,-1,Regular
Marvel,ORWELL,8,0.0001636951175885473,0.0,-1,Regular
Marvel,"ASHER, DONNA",7,0.00014534642028190037,0.0,-1,Regular
Marvel,"ASHER, CARL",7,0.00014534642028190037,0.0,-1,Regular
Marvel,"SHARPE, ROSALINDE",109,0.00033276381314393605,0.00016381275434957255,1,Regular
Marvel,MASTERMIND IV/MARTIN,15,5.5732432153736835e-05,4.863268094247005e-07,5,Regular
Marvel,"KNIGHT, MISTY",333,0.0008531412833097928,0.001828969405416448,2,Regular
Marvel,"LANE, LOIS",117,0.0002756121914950922,0.00036592647535295647,5,Regular
Marvel,TYPHOID MARY/MARY ME,90,0.00027555520199730297,0.00035842859474746936,1,Regular
Marvel,"LOPEZ, DONNA",4,3.438844195180664e-05,0.0,1,Regular
Marvel,STICK,32,0.0001235993576215022,2.8405589291646794e-05,1,Regular
Marvel,HAMMER II/,10,4.761480480551831e-05,0.0,1,Regular
Marvel,EEL II/EDWARD LAVELL,147,0.00034780924865741554,0.0001257683855734411,11,Regular
Marvel,OX III,31,9.846667469549965e-05,2.431762978819083e-06,1,Regular
Marvel,"BOWEN, FATHER MICHAE",70,0.0001838690169256675,3.696683836126387e-05,5,Regular
Marvel,VESPER,6,6.80699774969325e-05,0.0,2,Regular
Marvel,MIND'S EYE/MEACHAM,6,6.80699774969325e-05,0.0,2,Regular
Marvel,BACILLUS,6,6.80699774969325e-05,0.0,2,Regular
Marvel,STRONTIUM-90/,6,6.80699774969325e-05,0.0,2,Regular
Marvel,IRON FIST/DANIEL RAN,550,0.0014428417581178017,0.0056372849378226566,2,Regular
Marvel,"HAWKINS, DR. EDWIN E",3,3.25374559085955e-05,0.0,11,Regular
Marvel,DR. NEMESIS/DR. STOC,8,4.7491514273714756e-05,8.0375582114456e-06,0,Regular
Marvel,BLACK GOLIATH/DR. WI,185,0.0004642286633463968,0.0003032936873940287,2,Regular
Marvel,POWER MAN/ERIK JOSTE,421,0.0010071095890560404,0.001134633315241495,11,Regular
Marvel,MENTOR/ALARS [ETERNA,157,0.00038478923384095655,0.0002296504834378795,2,Regular
Marvel,ISAAC,136,0.0003213943585781487,8.016317221140376e-05,11,Regular
Marvel,DEMEITYR,5,3.400966620847942e-05,0.0,2,Regular
Marvel,"VERMICELLI, GIANNI",5,3.6276292989159345e-05,0.0,1,Regular
Marvel,FRANKENSTEIN MONSTER,40,0.00012793628093450175,2.780544434868725e-05,0,Regular
Marvel,MULTIPLE MAN/JAMES A,310,0.000718993476759131,0.0005949282867075469,5,Regular
Marvel,"ALVAREZ, FELIX",59,0.0001787317711772471,1.456259831936915e-05,0,Regular
Marvel,WHIPLASH/MARK SCARLO,206,0.0005159448467886267,0.0005136957624177691,11,Regular
Marvel,"HAMMER, JUSTIN",152,0.0004068563175939174,0.00040203450897237554,1,Regular
Marvel,"DARE, KATHLEEN",45,0.00012762244172351088,1.282747050472937e-05,0,Regular
Marvel,BLIZZARD II/DONALD G,65,0.0001703059813219788,6.870300789633198e-05,0,Regular
Marvel,MADAME MASQUE/GIULIE,140,0.00036788862326642943,0.0003044422812000115,0,Regular
Marvel,MADAME MASQUE II/,23,7.581998332674085e-05,4.246011388743668e-07,0,Regular
Marvel,"PEARSON, MARCY",52,0.00014768198685673068,9.147270208803647e-05,0,Regular
Marvel,DEADPOOL/JACK/WADE W,208,0.0006658363275814341,0.0016285596612534675,5,Regular
Marvel,HUMBUG/PROF. B. MITT,17,6.656132679741536e-05,4.744456514749115e-06,1,Regular
Marvel,COPYCAT/VANESSA,126,0.00032419681523749357,0.00017118884875420344,5,Regular
Marvel,DIRTY WOLFF,8,4.523935493973714e-05,0.0,5,Regular
Marvel,"LANG, CASSANDRA CASS",145,0.0003633023021746625,0.0008037387357837565,13,Regular
Marvel,"CORD, EDWIN",70,0.00017658692421670418,4.708040547846141e-05,11,Regular
Marvel,GREY GARGOYLE/PAUL P,144,0.00036176588271647967,0.0009103356145797172,7,Regular
Marvel,"O'CONNOR, A.C. ACE",12,6.374158349620667e-05,3.6778192948656763e-07,3,Regular
Marvel,PLUNDERER/LORD EDGAR,52,0.00017001353529430216,6.209396198412795e-05,13,Regular
Marvel,MARTINS,4,3.5127382855445945e-05,0.0,3,Regular
Marvel,FIREFALL III/ARCHIE ,9,5.8987128253333216e-05,0.0,3,Regular
Marvel,"LANE, SILAS",25,9.66994420518124e-05,1.5535338173144293e-05,3,Regular
Marvel,SPACE PHANTOM,61,0.00016468738613883012,7.565240235700432e-05,0,Regular
Marvel,FIREFALL/KARAS,8,4.831710826418099e-05,3.923181857413637e-08,3,Regular
Marvel,NITRO/ROBERT L. HUNT,120,0.0003107673274894252,0.00027356932738020545,0,Regular
Marvel,HAMMERHEAD,142,0.00039156869954290864,0.0001601466530556802,1,Regular
Marvel,"OSBORN, NORMIE",176,0.00048690314690041274,0.00042043151808576594,1,Regular
Marvel,PROFESSOR POWER/ANTH,58,0.0001518421791982832,9.162005747781553e-06,11,Regular
Marvel,DARKHAWK/CHRIS POWEL,352,0.0008694148726870361,0.0022654320706963983,8,Regular
