tweet,entities
1.3239657961173238e+18,[]
1.3226241538795315e+18,[]
1.3208080278643384e+18,[]
1.322878052465021e+18,[]
1.3229297569674158e+18,[]
1.3169433466156524e+18,[]
1.3250916401643643e+18,[]
1.3186700524351324e+18,[]
1.3185420885485855e+18,[]
1.3175415194784563e+18,[]
1.3219501921077494e+18,[]
1.323847998451888e+18,[]
1.3168936193752146e+18,[]
1.3247786796758548e+18,[]
1.32514143136376e+18,[]
1.3237400138054042e+18,[]
1.325374902011097e+18,[]
1.318772110068691e+18,[]
1.3245571225715425e+18,[]
1.3168269269426913e+18,[]
1.3170741246242447e+18,[]
1.3239175728284836e+18,[]
1.3253954028839936e+18,[]
1.3239029542823854e+18,[]
1.3222502953263557e+18,[]
1.3217122129065656e+18,[]
1.3230037989027226e+18,[]
1.3189154090730496e+18,[]
1.3237855875019205e+18,[]
1.3230406179209257e+18,[]
1.323041804980167e+18,[]
1.31757247646174e+18,[]
1.3251172665146327e+18,[]
1.3251313911436165e+18,[]
1.3246455971236127e+18,[]
1.3251045161995592e+18,[]
1.325484968034898e+18,[]
1.322007440146256e+18,[]
1.3211229620540416e+18,[]
1.3237630595386696e+18,[]
1.3197595359895552e+18,[]
1.320139707590869e+18,[]
1.3170736374643098e+18,[]
1.325146279991632e+18,[]
1.322463907164922e+18,[]
1.3251260146708398e+18,[]
1.324091727624491e+18,[]
1.317898237077049e+18,[]
1.3223387355859397e+18,[]
1.3197444380470026e+18,[]
1.3238435936147988e+18,[]
1.3212856148269015e+18,[]
1.3233668971030487e+18,[]
1.3221590107290706e+18,[]
1.325113631063896e+18,[]
1.3181816056309473e+18,[]
1.3190037970967142e+18,[]
1.3211058464876503e+18,[]
1.3178074808109834e+18,[]
1.3242213529461105e+18,[]
1.3238920297266831e+18,[]
1.3253794774137692e+18,[]
1.3243908736108012e+18,[]
1.3190781553452933e+18,[]
1.325226177783599e+18,[]
1.3238529372658442e+18,[]
1.3212096167395205e+18,[]
1.3222620069808947e+18,[]
1.3197700434968412e+18,[]
1.3238455644302295e+18,[]
1.3234029930442138e+18,[]
1.32389972252493e+18,[]
1.322801153273401e+18,[]
1.3168047841883914e+18,[]
1.3255009836533965e+18,[]
1.319467384000942e+18,[]
1.3251401541351465e+18,[]
1.3251284583771996e+18,[]
1.324808200768516e+18,[]
1.3249348704313915e+18,[]
1.3167807119286272e+18,[]
1.317207448424505e+18,[]
1.324506703820411e+18,[]
1.325186833639039e+18,[]
1.3248642188904407e+18,[]
1.3245253135278735e+18,[]
1.3167504345985638e+18,[]
1.3167077536001802e+18,[]
1.3228090208859628e+18,[]
1.3251124438283633e+18,[]
1.324547234214662e+18,[]
1.325094454722769e+18,[]
1.3190097455171707e+18,[]
1.323538648692904e+18,[]
1.3247264352322929e+18,[]
1.3238467218609807e+18,[]
1.3240418305189356e+18,[]
1.3195174606435492e+18,[]
1.3251686343821844e+18,[]
1.3207582560678175e+18,[]
1.3204628303034e+18,[]
1.3207848211661988e+18,[]
1.325081333392175e+18,[]
1.3194886734911775e+18,[]
1.321183876371329e+18,[]
1.325126692021547e+18,[]
1.3252947405274112e+18,[]
1.3240423580743188e+18,[]
1.3251700738210652e+18,[]
1.3212040869943296e+18,[]
1.3248829741485302e+18,[]
1.3194559575802102e+18,[]
1.323719649616302e+18,[]
1.3244691895628145e+18,[]
1.3184416563670917e+18,[]
1.3245958955649638e+18,[]
1.3181124019846103e+18,[]
1.3195293753903145e+18,[]
1.3251782884662436e+18,[]
1.3178517174767657e+18,[]
1.3252648373839503e+18,[]
1.316887231760638e+18,[]
1.3218398955019264e+18,[]
1.3220124087438664e+18,[]
1.3252638833307935e+18,[]
1.3199630949535416e+18,[]
1.3194469675215462e+18,[]
1.3251099162569032e+18,[]
1.3239849297227162e+18,[]
1.3251286428134236e+18,[]
1.3219209466016645e+18,[]
1.320334932976296e+18,[]
1.319005161336021e+18,[]
1.3205097683945636e+18,[]
1.3248836704280535e+18,[]
1.325115848235737e+18,[]
1.320848143777362e+18,[]
1.3199422538346332e+18,[]
1.3237504155115274e+18,[]
1.3241945247684567e+18,[]
1.3239367845233828e+18,[]
1.3250013324287713e+18,[]
1.323852347152474e+18,[]
1.324029102886658e+18,[]
1.3247111768366858e+18,[]
1.3237812294858506e+18,[]
1.3178339888917914e+18,[]
1.3247221492827628e+18,[]
1.3226915163100242e+18,[]
1.3226972676698604e+18,[]
1.323583702044205e+18,[]
1.3195813793074708e+18,[]
1.3238716675763118e+18,[]
1.324540985741767e+18,[]
1.3251154250557932e+18,[]
1.3246165648600187e+18,[]
1.3245026466827346e+18,[]
1.3207935946937797e+18,[]
1.325177065650393e+18,[]
1.323595182080729e+18,[]
1.3251243913577062e+18,[]
1.325316637801771e+18,[]
1.321703619780137e+18,[]
1.3225349878250906e+18,[]
1.3199203315707945e+18,[]
1.325115562310201e+18,[]
1.3236009775644385e+18,[]
1.3186808071799562e+18,[]
1.324988748388569e+18,[]
1.319450475469574e+18,[]
1.325116390790017e+18,[]
1.323103010105471e+18,[]
1.3250485868836577e+18,[]
1.3251253264274842e+18,[]
1.323657649070682e+18,[]
1.3245516551914168e+18,[]
1.3255180047513805e+18,[]
1.325135524542075e+18,[]
1.3251189542773678e+18,[]
1.3236481215120876e+18,[]
1.325148652893995e+18,[]
1.3244806696622694e+18,[]
1.324084929832145e+18,[]
1.3240723723669217e+18,[]
1.319369741950214e+18,[]
1.3251352291834716e+18,[]
1.3251127517867663e+18,[]
1.319465057110184e+18,[]
1.3224944917319188e+18,[]
1.3246465650264187e+18,[]
1.3252704803335127e+18,[]
1.324773849758462e+18,[]
1.3251787271316562e+18,[]
1.323990090096513e+18,[]
1.3254913394049147e+18,[]
1.3251380185633178e+18,[]
1.3251231879112663e+18,[]
1.3238743239464796e+18,[]
1.3183919733388452e+18,[]
1.3248780475988255e+18,[]
