,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
mean,3269.5,84018.0,33.25234184135798,0.021212399781542574,0.3799266124185997,0.37718648393415366,0.3825375209286888,0.9571428571428571,0.533821280699236
std,4463.965109630674,117663.98260300388,26.576134397514462,0.02193064311274987,0.05914658580504025,0.0600845134949961,0.05765097574059589,0.006734350297014714,0.15551041164833537
