Network,Modularity_Mean,Hub_Stability_Degree,Community_Stability_ARI
Marvel,0.42174956432537564,0.9523809523809523,0.6437837473208854
StarWars,0.3381036605118237,0.9619047619047618,0.4238588140775866
US_Election,0.2829783637296706,1.0,0.20225076351485805
AU_Election,0.19065399913729936,1.0,0.14067014581257292
