Network,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
Marvel,6426,167219,52.044506691565516,0.005705093320735084,0.42174956432537564,0.41967265087076,0.4233029168168853,0.9523809523809523,0.6437837473208854
StarWars,113,817,14.460176991150442,0.03671970624235006,0.3381036605118237,0.33470031699754726,0.3417721250404923,0.9619047619047618,0.4238588140775866
US_Election,195354,10556276,108.07330282461582,0.008074864658711083,0.2829783637296706,0.2804430108177404,0.2847602332528108,1.0,0.20225076351485805
AU_Election,26882,953651,70.95089651067629,0.012789269869165974,0.19065399913729936,0.18829369977851818,0.19322005995981253,1.0,0.14067014581257292
