,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
mean,3269.5,84018.0,33.25234184135798,0.021212399781542574,0.3797946420769015,0.37757297478142293,0.3819619148651393,0.9294372294372295,0.527218699888522
std,4463.965109630674,117663.98260300388,26.576134397514462,0.02193064311274987,0.05941074072071851,0.060243024702862566,0.05889732652964166,0.018978623564314217,0.16397535487739429
