Network,Modularity_Mean,Hub_Stability_Degree,Community_Stability_ARI
Marvel,0.4218043797158373,0.9428571428571428,0.6431667852697981
StarWars,0.33778490443796566,0.9160173160173161,0.41127061450724584
US_Election,0.2836611458454599,1.0,0.22828331403671093
AU_Election,0.192443008762112,1.0,0.13749656778383118
