Network,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
Marvel,6426,167219,52.044506691565516,0.005705093320735084,0.4218043797158373,0.4201712260680058,0.42360861384800724,0.9428571428571428,0.6431667852697981
StarWars,113,817,14.460176991150442,0.03671970624235006,0.33778490443796566,0.33497472349484014,0.3403152158822713,0.9160173160173161,0.41127061450724584
US_Election,195354,10556276,108.07330282461582,0.008074864658711083,0.2836611458454599,0.2825188978517686,0.28478150510160377,1.0,0.22828331403671093
AU_Election,26882,953651,70.95089651067629,0.012789269869165974,0.192443008762112,0.1911101396725331,0.19398284969746216,1.0,0.13749656778383118
