Network,Modularity_Mean,Hub_Stability_Degree,Community_Stability_ARI
Marvel,0.42219205589239595,0.9619047619047618,0.6312201471999936
StarWars,0.3344307464482391,0.9523809523809523,0.43322685725358456
US_Election,0.283194495140889,1.0,0.2453624185722975
AU_Election,0.19189355670937666,1.0,0.12572286590161919
