Network,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
Marvel,6426,167219,52.044506691565516,0.005705093320735084,0.42219205589239595,0.4195746921747381,0.42435116334290285,0.9619047619047618,0.6312201471999936
StarWars,113,817,14.460176991150442,0.03671970624235006,0.3344307464482391,0.3301044958119302,0.33903951594243137,0.9523809523809523,0.43322685725358456
US_Election,195354,10556276,108.07330282461582,0.008074864658711083,0.283194495140889,0.2814521535152784,0.2845102837972645,1.0,0.2453624185722975
AU_Election,26882,953651,70.95089651067629,0.012789269869165974,0.19189355670937666,0.1901108070250546,0.193575627478422,1.0,0.12572286590161919
