Network,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High
Marvel,0.42219205589239595,0.4195746921747381,0.42435116334290285
StarWars,0.3344307464482391,0.3301044958119302,0.33903951594243137
US_Election,0.283194495140889,0.2814521535152784,0.2845102837972645
AU_Election,0.19189355670937666,0.1901108070250546,0.193575627478422
