,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
mean,3269.5,84018.0,33.25234184135798,0.021212399781542574,0.37831140117031753,0.3748395939933341,0.3816953396426671,0.9571428571428571,0.5322235022267892
std,4463.965109630674,117663.98260300388,26.576134397514462,0.02193064311274987,0.06205661703377429,0.06326498256223345,0.060324444391069085,0.006734350297014714,0.14000239795054015
