Network,Modularity_Mean,Hub_Stability_Degree,Community_Stability_ARI
Marvel,0.4225327590436582,0.9714285714285713,0.6769318184883178
StarWars,0.34002813642463786,0.9333333333333333,0.4004392189462531
US_Election,0.2834896398735546,1.0,0.2437619943422054
AU_Election,0.19118804799053005,1.0,0.13378655784421598
