,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
mean,3269.5,84018.0,33.25234184135798,0.021212399781542574,0.38128044773414804,0.37953883473109407,0.38272552383915315,0.9523809523809523,0.5386855187172854
std,4463.965109630674,117663.98260300388,26.576134397514462,0.02193064311274987,0.05833957813314631,0.058239350491194615,0.05865801666794037,0.026937401188058856,0.19550979208409047
