Network,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
Marvel,6426,167219,52.044506691565516,0.005705093320735084,0.4225327590436582,0.42072027439531784,0.4242030051960073,0.9714285714285713,0.6769318184883178
StarWars,113,817,14.460176991150442,0.03671970624235006,0.34002813642463786,0.33835739506687024,0.34124804248229895,0.9333333333333333,0.4004392189462531
US_Election,195354,10556276,108.07330282461582,0.008074864658711083,0.2834896398735546,0.28239500427864533,0.28461962717039563,1.0,0.2437619943422054
AU_Election,26882,953651,70.95089651067629,0.012789269869165974,0.19118804799053005,0.18939910142192204,0.1924845406242875,1.0,0.13378655784421598
