Network,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
Marvel,6426,167219,52.044506691565516,0.005705093320735084,0.42261305144234323,0.4210835876500766,0.4241695416875584,0.9714285714285715,0.6560655923906842
StarWars,113,817,14.460176991150442,0.03671970624235006,0.34136165486602804,0.3388956337637096,0.3439137489009209,0.9523809523809523,0.41890354230652305
US_Election,195354,10556276,108.07330282461582,0.008074864658711083,0.2803554768511376,0.27744114816622545,0.28302332869916924,1.0,0.2565198553434924
AU_Election,26882,953651,70.95089651067629,0.012789269869165974,0.19161634651923157,0.19007316629604556,0.19325509457339382,1.0,0.1274492051402652
