,Nodes,Edges,Avg_Degree,Top_1_Share,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High,Hub_Stability_Degree,Community_Stability_ARI
mean,3269.5,84018.0,33.25234184135798,0.021212399781542574,0.38198735315418564,0.3799896107068931,0.3840416452942397,0.9619047619047619,0.5374845673486036
std,4463.965109630674,117663.98260300388,26.576134397514462,0.02193064311274987,0.057453413499989905,0.05811565952489734,0.05674941530893376,0.013468700594029586,0.16769889385461395
