Network,Modularity_Mean,Modularity_CI_Low,Modularity_CI_High
Marvel,0.42261305144234323,0.4210835876500766,0.4241695416875584
StarWars,0.34136165486602804,0.3388956337637096,0.3439137489009209
US_Election,0.2803554768511376,0.27744114816622545,0.28302332869916924
AU_Election,0.19161634651923157,0.19007316629604556,0.19325509457339382
